type_id,item_name,category,current_price,avg_price_7d,avg_price_30d,price_change_7d,price_change_30d,volume_24h,volume_7d,bid_ask_spread,profit_margin,volatility_score,volume_score,overall_score,recommendation,risk_level
2203,Warrior II,Drone,4525.0,4751.25,4977.5,0.05,0.1,201248,1408736,0.20994475138121546,0.2345679012345679,0.5,1.0,0.5438271604938272,BUY,MEDIUM
2205,Hammerhead II,Drone,390450.0,409972.5,429495.00000000006,0.05,0.1,43375,303625,0.10526315789473684,0.1111111111111111,0.5,1.0,0.49444444444444446,HOLD,MEDIUM
40,Megacyte,Mineral,4522.0,4748.1,4974.200000000001,0.05,0.1,49769899,348389293,0.05174701459531181,0.05312145289443814,0.5,1.0,0.47124858115777524,HOLD,MEDIUM
44,Enriched Uranium,Planetary,12030.0,12631.5,13233.000000000002,0.05,0.1,2600439,18203073,0.043225270157938485,0.044180118946474084,0.5,1.0,0.4676720475785896,HOLD,MEDIUM
16265,Helium Isotopes,Ice Product,289050.0,303502.5,317955.0,0.05,0.1,31753,222271,0.034250129735339904,0.03484688489968321,0.5,1.0,0.4639387539598733,HOLD,MEDIUM
39,Zydrine,Mineral,2292.5,2407.125,2521.75,0.05,0.1,90589853,634128971,0.03271537622682661,0.03325942350332594,0.5,1.0,0.46330376940133033,HOLD,MEDIUM
16264,Liquid Ozone,Ice Product,268400.0,281820.0,295240.0,0.05,0.1,1448,10136,0.4143070044709389,0.5225563909774437,0.5,0.048266666666666666,0.37350255639097746,HOLD,MEDIUM
